Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,,,,,,#date+year,,,#indicator+type,#indicator+value+num,
AND,2002-04-01,2002-04-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2002,2002,7004,April,,1.128868390072350,X
AND,2002-05-01,2002-05-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2002,2002,7005,May,,1.090512540894220,X
AND,2002-06-01,2002-06-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2002,2002,7006,June,,1.046638198107680,X
AND,2002-07-01,2002-07-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2002,2002,7007,July,,1.007878984408500,X
AND,2002-08-01,2002-08-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2002,2002,7008,August,,1.022746819024940,X
AND,2002-09-01,2002-09-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2002,2002,7009,September,,1.019580806634110,X
AND,2002-10-01,2002-10-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2002,2002,7010,October,,1.019255057499250,X
AND,2002-11-01,2002-11-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2002,2002,7011,November,,0.998639947500076,X
AND,2002-12-01,2002-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2002,2002,7012,December,,0.982072270698401,X
AND,2003-01-01,2003-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2003,2003,7021,Annual value,,0.886034166666667,X
AND,2003-01-01,2003-01-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2003,2003,7001,January,,0.941454375837113,X
AND,2003-02-01,2003-02-28,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2003,2003,7002,February,,0.928250850509842,X
AND,2003-03-01,2003-03-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2003,2003,7003,March,,0.925366952061569,X
